"","Year","2.5%","mean","97.5%","se_mean","n_eff","Rhat"
"mu[130]",1777,782613.183479657,787993.69421816,793378.656342166,11.5323039453453,54792.064546325,1.00009936785293
"mu[131]",1778,797291.532468819,802818.418016096,808331.180536223,13.4553433581539,42292.3681405632,1.00024140103193
"mu[132]",1779,815852.711531118,821314.396407927,826406.469946218,15.2740318156675,29999.7992753639,1.00051076591387
"mu[133]",1780,833457.688555861,838870.097840997,842962.703522002,17.6583143430287,17463.6315939889,1.00105368194494
"mu[134]",1781,842734.096866833,848992.400630801,854747.938401156,18.4688824550169,26709.2476124286,1.0006537891003
"mu[135]",1782,852741.044854086,859955.792408491,866915.511995075,20.7230955004367,29668.5948413598,1.00057448830135
"mu[136]",1783,857741.120210431,865775.170357782,873760.208790125,22.608448873775,32009.0532429874,1.00048100079206
"mu[137]",1784,872526.426557074,881423.539289478,890272.432969035,25.7943702541351,30080.1478001104,1.00046987417916
"mu[138]",1785,881204.559712674,890803.630928793,900386.195758884,28.3811275306652,28898.1584236771,1.00044895488995
"mu[139]",1786,891556.338112867,901715.376802165,911917.844005206,30.5608621681049,28136.4900806508,1.0004772349214
"mu[140]",1787,903467.586767769,914156.86619387,924841.523287254,32.8768428425815,26676.4973125356,1.0004620994998
"mu[141]",1788,902630.530124012,913604.978909243,924617.779098731,34.0511714362763,26348.3320599299,1.00033979614775
"mu[142]",1789,896052.637425669,907397.234064391,918817.409568807,36.5172612232647,24536.0332220274,1.0003416399669
"mu[143]",1790,889819.908476765,901673.175836965,913623.599618626,40.2916545813189,21958.469367428,1.00035327544828
"mu[144]",1791,889000.793465009,901275.43310695,913540.307926349,43.5298591619859,20154.8768607464,1.00042472358051
"mu[145]",1792,905316.124471269,917240.124220323,929147.336193552,40.9869371901493,21438.1083648802,1.00036968401156
"mu[146]",1793,921155.827141522,932630.593957017,944138.127447207,38.6329467837565,22528.9478810168,1.00037092578697
"mu[147]",1794,927980.656515344,939235.773427885,950515.128114869,37.9933069956962,22338.4213402691,1.00040942506778
"mu[148]",1795,944162.415150221,954710.358498857,965306.04384764,34.3514160835385,24071.1562340538,1.00034738471076
"mu[149]",1796,960688.536175225,970396.832710723,980142.37927466,29.9241047070216,26984.990865008,1.00033445983021
"mu[150]",1797,982652.167255493,991365.104384857,1000098.29861399,25.110783770438,30743.7432267033,1.00026490986869
"mu[151]",1798,999122.424567048,1006807.93743773,1014524.0786336,21.6575747509711,31894.8835764276,1.0002661840566
"mu[152]",1799,1011095.80988283,1017405.27116565,1023858.96963352,17.7365931811698,32626.1633159968,1.00034272969532
"mu[153]",1800,1022614.51472155,1027163.83796976,1032442.80829539,15.2783035712433,24124.7680174483,1.00058817991452
"mu[154]",1801,1037521.58526517,1043384.21622033,1048980.11143453,13.3670394704895,46103.8355119639,1.00016399541813
"mu[155]",1802,1055383.74866044,1062064.9341471,1068190.53943695,16.1688331944792,39298.6069428868,1.00031909433659
"mu[156]",1803,1060199.00725705,1066935.72587458,1073224.83035896,19.4944190330805,27958.608738922,1.00054317547446
"mu[157]",1804,1076011.30316112,1082901.20244773,1088781.58038741,26.3192155158686,14814.7294972723,1.00112888311441
"mu[158]",1805,1094824.23868884,1102120.23701064,1106312.19021684,34.7574055015201,7507.210310175,1.00244538209674
"mu[159]",1806,1108632.32618986,1116423.66722431,1122935.01002875,30.1346032310454,14408.320147921,1.00113493970674
"mu[160]",1807,1114082.72356803,1122229.33970441,1129659.87912837,30.9411620585293,16182.5447972108,1.00073026627797
"mu[161]",1808,1080209.93279314,1086505.11363447,1092785.21893923,9.45651165389886,112911.812336129,1.00002992575427
"mu[162]",1809,1049307.47296296,1055535.97565348,1062782.56628792,24.0799437907434,19849.5664074391,1.00067958720217
"mu[163]",1810,1067264.73577441,1071320.11576144,1077908.64590054,26.4478666389168,10500.0623443836,1.00154646146446
"mu[164]",1811,1071373.29362503,1077251.15075142,1084366.82152698,26.4324801959993,15419.8830480597,1.00099182295921
